fixture_id,id_lesionado,name_lesionado
877968,2670,I. Martinez
877969,47264,H. Duro
877969,918,J. Gaya
877969,162175,J. Vazquez
877969,915,Gabriel Paulista
877969,6503,N. Molina
877969,39,S. Savic
877970,47515,B. Garcia
877970,263529,I. Kebe
877970,1700,I. Martin
877970,136117,R. Riquelme
877970,1461,D. Suarez
877971,18895,F. Lejeune
877971,47327,D. Lopez
877971,47209,A. Martin
877971,131546,I. Palazon
877971,46739,I. Baba
877971,61142,D. Greif
877971,104793,A. Ndiaye
877971,47266,A. Rodriguez
877972,47272,M. Balenziaga
877972,47273,Y. Berchiche
877972,2042,S. Gomez
877972,21566,B. Lecomte
877972,127426,P. Lozano
877972,47329,A. Pedrosa
877972,47551,R. de Tomas
877973,47391,R. Pena
877973,47327,D. Lopez
877973,47209,A. Martin
877974,46808,C. Fernandez
877974,47322,M. Merquelanz
877974,47323,M. Oyarzabal
877974,18867,D. Rico
877974,45,T. Lemar
877974,1165,Matheus Cunha
877974,6503,N. Molina
877974,739,S. Reguilon
877974,39,S. Savic
877975,389,J. Corona
877975,433,Marcao
877975,25345,K. Rekik
877976,737,A. Odriozola
877976,741,J. Vallejo
877976,18998,V. Camarasa
877976,1580,W. Carvalho
877976,2469,G. Pezzella
877977,83,A. Danjuma
877977,166,J. Foyth
877977,288,A. Moreno
877977,47002,Fidel
877977,30525,P. Lirola
877977,46965,G. Verdu
877978,918,J. Gaya
877978,47085,L. Milla
877978,6168,O. Alderete
877979,1830,G. Paciencia
877979,1461,D. Suarez
877979,47485,R. Alcaraz
877979,2755,A. Mabil
877980,914,A. Centelles
877980,46910,I. Martos
877980,47576,G. Melero
877980,105034,J. Nieto
877980,47056,I. Eguaras
877981,46739,I. Baba
877981,61142,D. Greif
877981,104793,A. Ndiaye
877981,47266,A. Rodriguez
877981,47515,B. Garcia
877981,2449,Y. Herrera
877981,263529,I. Kebe
877981,1700,I. Martin
877981,2617,C. Stuani
877982,31,J. M. Gimenez
877982,739,S. Reguilon
877982,39,S. Savic
877982,1830,G. Paciencia
877982,47416,O. Rodriguez
877982,1461,D. Suarez
877983,18998,V. Camarasa
877983,668,N. Fekir
877983,47320,Juanmi
877983,83,A. Danjuma
877983,166,J. Foyth
877983,288,A. Moreno
877983,1624,P. Reina
877984,6168,O. Alderete
877984,47258,M. Arambarri
877984,47250,Djene
877984,47085,L. Milla
877984,46808,C. Fernandez
877984,47322,M. Merquelanz
877984,47323,M. Oyarzabal
877985,47170,J. C. Lazo
877985,47329,A. Pedrosa
877985,47551,R. de Tomas
877985,389,J. Corona
877985,433,Marcao
877985,30433,Papu Gomez
877986,47327,D. Lopez
877986,47209,A. Martin
877986,46775,S. Sanchez
877986,911,J. Domenech
877986,162123,I. Moriba
877986,274,E. Cavani
877987,46910,I. Martos
877987,47576,G. Melero
877987,105034,J. Nieto
877987,914,A. Centelles
877987,46919,C. de la Hoz
877987,288800,I. Benito
877987,163436,Kike Saverio
877987,67939,A. Oroz
877987,47391,R. Pena
877988,47515,B. Garcia
877988,2449,Y. Herrera
877988,263529,I. Kebe
877988,1700,I. Martin
877988,2617,C. Stuani
877988,323815,O. Urena
877989,46965,G. Verdu
877989,47271,Y. Alvarez
877989,47272,M. Balenziaga
877989,47273,Y. Berchiche
877989,898,A. Herrera
877990,46998,J. Cala
877990,46770,J. A. Garrido
877990,47525,C. Lozano
877990,137,S. Roberto
877991,759,K. Benzema
877991,372,E. Militao
877991,737,A. Odriozola
877991,61142,D. Greif
877991,3084,T. Kadewere
877991,104793,A. Ndiaye
877992,183848,J. Agirrezabala
877992,47272,M. Balenziaga
877992,47273,Y. Berchiche
877992,47418,M. Vesga
877992,47278,D. Vivian
877992,181734,P. Chavarria
877992,47209,A. Martin
877992,46775,S. Sanchez
877993,31,J. M. Gimenez
877993,739,S. Reguilon
877993,39,S. Savic
877993,45,T. Lemar
877993,759,K. Benzema
877993,757,Lucas
877994,137,S. Roberto
877994,30525,P. Lirola
877994,414,O. Mascarell
877994,47398,P. Milla
877995,18998,V. Camarasa
877995,668,N. Fekir
877995,47320,Juanmi
877995,1693,V. Ruiz
877995,1264,Y. Sabaly
877995,47515,B. Garcia
877995,2449,Y. Herrera
877995,263529,I. Kebe
877995,47334,D. Lopez
877995,1700,I. Martin
877995,2617,C. Stuani
877995,187987,R. Terrats
877995,323815,O. Urena
877996,911,J. Domenech
877996,162106,Y. Musah
877996,1830,G. Paciencia
877996,1461,D. Suarez
877997,163436,Kike Saverio
877997,67939,A. Oroz
877997,6168,O. Alderete
877997,47250,Djene
877998,47229,Fali
877998,47525,C. Lozano
877999,47317,A. Barrenetxea
877999,46808,C. Fernandez
877999,47301,R. Le Normand
877999,47322,M. Merquelanz
877999,47323,M. Oyarzabal
877999,31406,U. Sadiq
877999,46825,K. Bare
877999,46968,O. Gil
877999,47170,J. C. Lazo
877999,47329,A. Pedrosa
878000,166,J. Foyth
878000,288,A. Moreno
878000,1707,G. Moreno
878000,1705,M. Trigueros
878000,1624,P. Reina
878000,389,J. Corona
878000,176,E. Lamela
878000,433,Marcao
878001,61142,D. Greif
878001,3084,T. Kadewere
878001,104793,A. Ndiaye
878001,46910,I. Martos
878001,105034,J. Nieto
878001,914,A. Centelles
878001,46919,C. de la Hoz
878002,47085,L. Milla
878002,2717,Anuar
878002,1682,S. Asenjo
878002,47078,L. Perez
878003,46770,J. A. Garrido
878003,46931,A. Gimenez
878003,14444,M. Mbaye
878003,166,J. Foyth
878003,288,A. Moreno
878003,1707,G. Moreno
878003,1624,P. Reina
878003,1705,M. Trigueros
878004,46968,O. Gil
878004,47170,J. C. Lazo
878004,47329,A. Pedrosa
878004,911,J. Domenech
878004,162106,Y. Musah
878005,47515,B. Garcia
878005,263529,I. Kebe
878005,47334,D. Lopez
878005,47263,S. Saiz
878005,47317,A. Barrenetxea
878005,274312,M. Cho
878005,47301,R. Le Normand
878005,47322,M. Merquelanz
878005,47323,M. Oyarzabal
878005,31406,U. Sadiq
878005,47314,I. Zubeldia
878006,389,J. Corona
878006,433,Marcao
878006,1493,M. Acuna
878006,371,Felipe
878006,2669,M. Hermoso
878006,45,T. Lemar
878006,739,S. Reguilon
878006,2472,R. de Paul
878007,61142,D. Greif
878007,3084,T. Kadewere
878007,101814,R. Araujo
878007,1439,H. Bellerin
878007,667,M. Depay
878007,1257,J. Kounde
878007,538,F. de Jong
878008,570,F. Cervi
878008,18998,V. Camarasa
878008,47320,Juanmi
878008,1264,Y. Sabaly
878009,47209,A. Martin
878009,47551,R. de Tomas
878009,47002,Fidel
878009,781,J. Pastore
878009,46965,G. Verdu
878009,414,O. Mascarell
878010,730,T. Courtois
878010,757,Lucas
878010,754,L. Modric
878010,47579,C. Avila
878010,163436,Kike Saverio
878011,47273,Y. Berchiche
878011,47278,D. Vivian
878011,914,A. Centelles
878011,46910,I. Martos
878011,47576,G. Melero
878011,105034,J. Nieto
878011,46688,A. Pozo
878011,129,Chumi
878011,312650,M. Milovanovic
878012,371,Felipe
878012,753,M. Llorente
878012,739,S. Reguilon
878012,47515,B. Garcia
878012,263529,I. Kebe
878012,47334,D. Lopez
878012,10166,Reinier
878012,47263,S. Saiz
878013,101814,R. Araujo
878013,1439,H. Bellerin
878013,2282,A. Christensen
878013,667,M. Depay
878013,1642,F. Kessie
878013,1257,J. Kounde
878014,47002,Fidel
878014,781,J. Pastore
878014,1983,E. Roco
878014,1687,J. Costa
878014,61142,D. Greif
878014,3084,T. Kadewere
878015,47258,M. Arambarri
878015,2824,N. Maksimovic
878015,759,K. Benzema
878015,748,D. Ceballos
878015,730,T. Courtois
878016,11471,T. Alarcon
878016,47100,I. Carcelen
878016,14444,M. Mbaye
878016,2737,M. Braithwaite
878016,47329,A. Pedrosa
878017,46653,D. Garcia
878017,163436,Kike Saverio
878017,911,J. Domenech
878017,122233,Marcos Andre
878017,1641,S. Castillejo
878018,47317,A. Barrenetxea
878018,47299,A. Gorosabel
878018,47322,M. Merquelanz
878018,47323,M. Oyarzabal
878018,31406,U. Sadiq
878018,166,J. Foyth
878018,1707,G. Moreno
878018,1705,M. Trigueros
878019,914,A. Centelles
878019,129,Chumi
878019,46910,I. Martos
878019,312650,M. Milovanovic
878019,105034,J. Nieto
878019,47209,A. Martin
878019,47551,R. de Tomas
878020,389,J. Corona
878020,452,Fernando
878020,25345,K. Rekik
878020,47273,Y. Berchiche
878020,47278,D. Vivian
878021,2717,Anuar
878021,1682,S. Asenjo
878021,31386,J. El Yamiq
878021,18902,Kenedy
878021,16369,G. Plata
878021,18998,V. Camarasa
878021,668,N. Fekir
878021,47320,Juanmi
878021,1847,Luiz Felipe
878022,47273,Y. Berchiche
878022,898,A. Herrera
878022,371,Felipe
878022,753,M. Llorente
878022,739,S. Reguilon
878023,274312,M. Cho
878023,47322,M. Merquelanz
878023,47323,M. Oyarzabal
878023,31406,U. Sadiq
878023,47306,A. Sola
878024,1687,J. Costa
878024,61142,D. Greif
878024,3084,T. Kadewere
878024,293604,J. Llabres
878024,50048,V. Muriqi
878024,389,J. Corona
878024,452,Fernando
878024,25345,K. Rekik
878025,2737,M. Braithwaite
878025,47329,A. Pedrosa
878025,119232,D. Gomez
878025,2717,Anuar
878025,18902,Kenedy
878025,47078,L. Perez
878025,31386,J. El Yamiq
878025,16369,G. Plata
878026,748,D. Ceballos
878026,730,T. Courtois
878026,101814,R. Araujo
878026,1439,H. Bellerin
878026,2282,A. Christensen
878026,667,M. Depay
878027,916,M. Diakhaby
878027,911,J. Domenech
878027,122233,Marcos Andre
878027,1641,S. Castillejo
878027,608,L. Boye
878027,47002,Fidel
878028,47209,A. Martin
878028,47551,R. de Tomas
878028,47258,M. Arambarri
878029,47515,B. Garcia
878029,263529,I. Kebe
878029,10166,Reinier
878029,11471,T. Alarcon
878029,46770,J. A. Garrido
878029,46755,D. Gil
878029,46931,A. Gimenez
878029,14444,M. Mbaye
878030,924,F. Coquelin
878030,166,J. Foyth
878030,1707,G. Moreno
878030,18794,Kiko
878030,1578,G. Lo Celso
878030,46652,U. Garcia
878030,163436,Kike Saverio
878030,47391,R. Pena
878031,18998,V. Camarasa
878031,668,N. Fekir
878031,47320,Juanmi
878031,2469,G. Pezzella
878031,914,A. Centelles
878031,47554,A. Embarba
878031,46910,I. Martos
878031,312650,M. Milovanovic
878031,105034,J. Nieto
878032,371,Felipe
878032,50,Koke
878032,753,M. Llorente
878032,739,S. Reguilon
878032,29,J. Oblak
878032,47209,A. Martin
878032,47557,O. Trejo
878032,47551,R. de Tomas
878033,101814,R. Araujo
878033,2282,A. Christensen
878033,667,M. Depay
878033,924,F. Coquelin
878033,166,J. Foyth
878033,1707,G. Moreno
878033,18802,E. Capoue
878033,1578,G. Lo Celso
878034,184345,J. Alamo
878034,18893,F. Fernandez
878034,748,D. Ceballos
878034,730,T. Courtois
878034,760,M. Diaz
878035,389,J. Corona
878035,452,Fernando
878035,25345,K. Rekik
878035,1641,S. Castillejo
878035,911,J. Domenech
878036,914,A. Centelles
878036,46910,I. Martos
878036,312650,M. Milovanovic
878036,105034,J. Nieto
878036,47515,B. Garcia
878036,47511,Juanpe
878036,263529,I. Kebe
878036,10166,Reinier
878037,47258,M. Arambarri
878037,47274,A. Capa
878037,182563,J. Morcillo
878038,162058,V. Chust
878038,46770,J. A. Garrido
878038,46824,I. Alejo
878038,46755,D. Gil
878038,46931,A. Gimenez
878038,18998,V. Camarasa
878038,668,N. Fekir
878038,47320,Juanmi
878039,2717,Anuar
878039,18902,Kenedy
878039,47078,L. Perez
878039,1682,S. Asenjo
878039,1830,G. Paciencia
878039,5921,A. Solari
878040,274312,M. Cho
878040,47322,M. Merquelanz
878040,47303,A. Munoz
878040,47323,M. Oyarzabal
878040,31406,U. Sadiq
878040,47306,A. Sola
878040,61142,D. Greif
878040,3084,T. Kadewere
878040,50048,V. Muriqi
878041,163436,Kike Saverio
878041,47391,R. Pena
878041,286604,Gori
878041,47329,A. Pedrosa
878042,5921,A. Solari
878042,143,C. Alena
878042,2060,Munir El Haddadi
878042,47258,M. Arambarri
878043,759,K. Benzema
878043,748,D. Ceballos
878043,760,M. Diaz
878043,1493,M. Acuna
878043,389,J. Corona
878043,452,Fernando
878043,133110,T. Nianzou
878043,25345,K. Rekik
878043,297311,K. Salas
878044,47515,B. Garcia
878044,47511,Juanpe
878044,263529,I. Kebe
878044,46653,D. Garcia
878044,163436,Kike Saverio
878045,101814,R. Araujo
878045,2282,A. Christensen
878045,667,M. Depay
878045,47274,A. Capa
878046,18998,V. Camarasa
878046,1570,S. Canales
878046,47320,Juanmi
878046,50,Koke
878046,45,T. Lemar
878046,753,M. Llorente
878046,739,S. Reguilon
878047,47329,A. Pedrosa
878047,286604,Gori
878047,184345,J. Alamo
878047,18893,F. Fernandez
878048,1641,S. Castillejo
878048,911,J. Domenech
878048,61142,D. Greif
878048,3084,T. Kadewere
878048,293604,J. Llabres
878048,2208,C. Grenier
878049,47551,R. de Tomas
878049,47209,A. Martin
878049,46824,I. Alejo
878049,46770,J. A. Garrido
878049,14444,M. Mbaye
878049,47307,J. Zaldua
878049,46755,D. Gil
878050,2717,Anuar
878050,18902,Kenedy
878050,47078,L. Perez
878050,47317,A. Barrenetxea
878050,274312,M. Cho
878050,47322,M. Merquelanz
878050,47303,A. Munoz
878050,47323,M. Oyarzabal
878050,31406,U. Sadiq
878050,47306,A. Sola
878051,166,J. Foyth
878051,1707,G. Moreno
878051,1702,A. Pedraza
878051,18802,E. Capoue
878051,914,A. Centelles
878051,46910,I. Martos
878051,312650,M. Milovanovic
878051,105034,J. Nieto
878052,47281,D. Garcia
878052,2672,I. Muniain
878052,182219,A. Baena
878052,18802,E. Capoue
878052,166,J. Foyth
878052,1707,G. Moreno
878052,1701,M. Morlanes
878052,1702,A. Pedraza
878053,184345,J. Alamo
878053,18893,F. Fernandez
878053,47002,Fidel
878053,2486,H. Palacios
878053,781,J. Pastore
878053,5987,F. Angileri
878053,47258,M. Arambarri
878054,181421,Ez Abde
878054,46646,S. Herrera
878054,163436,Kike Saverio
878054,2717,Anuar
878054,18902,Kenedy
878054,46714,M. Malsa
878054,47078,L. Perez
878055,46910,I. Martos
878055,105034,J. Nieto
878055,312650,M. Milovanovic
878055,47432,H. Mallo
878055,5921,A. Solari
878055,19026,L. de la Torre
878056,47100,I. Carcelen
878056,46770,J. A. Garrido
878056,47307,J. Zaldua
878056,50,Koke
878056,45,T. Lemar
878056,753,M. Llorente
878057,916,M. Diakhaby
878057,911,J. Domenech
878057,162123,I. Moriba
878057,162106,Y. Musah
878057,161933,Nico
878057,101814,R. Araujo
878057,2282,A. Christensen
878057,667,M. Depay
878057,137,S. Roberto
878058,47317,A. Barrenetxea
878058,274312,M. Cho
878058,32862,T. Kubo
878058,47322,M. Merquelanz
878058,47303,A. Munoz
878058,47323,M. Oyarzabal
878058,31406,U. Sadiq
878058,634,D. Silva
878058,47306,A. Sola
878058,18998,V. Camarasa
878058,1579,Joaquin
878058,47320,Juanmi
878058,1847,Luiz Felipe
878058,2476,G. Rodriguez
878059,1484,R. Battaglia
878059,61142,D. Greif
878059,3084,T. Kadewere
878059,286604,Gori
878059,47329,A. Pedrosa
878060,389,J. Corona
878060,47422,Y. En Nesyri
878060,452,Fernando
878060,133110,T. Nianzou
878060,122657,R. Nteka
878060,47549,J. Pozo
878060,47557,O. Trejo
878060,47551,R. de Tomas
878060,119,R. Falcao
878060,47209,A. Martin
878061,759,K. Benzema
878061,47515,B. Garcia
878061,47511,Juanpe
878061,263529,I. Kebe
878061,47263,S. Saiz
878062,50,Koke
878062,48,S. Niguez
878062,286604,Gori
878062,359603,L. Koleosho
878062,47329,A. Pedrosa
878063,18998,V. Camarasa
878063,1579,Joaquin
878063,47320,Juanmi
878063,1847,Luiz Felipe
878063,389,J. Corona
878063,452,Fernando
878063,745,Isco
878063,433,Marcao
878063,133110,T. Nianzou
878064,47432,H. Mallo
878064,5921,A. Solari
878064,182504,G. Veiga
878064,19026,L. de la Torre
878064,181421,Ez Abde
878064,163436,Kike Saverio
878064,46646,S. Herrera
878065,47317,A. Barrenetxea
878065,274312,M. Cho
878065,47322,M. Merquelanz
878065,47303,A. Munoz
878065,47323,M. Oyarzabal
878065,31406,U. Sadiq
878065,274,E. Cavani
878065,916,M. Diakhaby
878065,911,J. Domenech
878065,162123,I. Moriba
878066,47209,A. Martin
878066,122657,R. Nteka
878066,47549,J. Pozo
878066,47551,R. de Tomas
878066,759,K. Benzema
878066,752,T. Kroos
878066,2285,A. Rudiger
878067,47515,B. Garcia
878067,263529,I. Kebe
878067,47263,S. Saiz
878067,197448,Y. Couto
878067,47511,Juanpe
878067,47281,D. Garcia
878067,898,A. Herrera
878067,2672,I. Muniain
878068,2717,Anuar
878068,18902,Kenedy
878068,47078,L. Perez
878068,184345,J. Alamo
878068,47002,Fidel
878068,2486,H. Palacios
878068,781,J. Pastore
878068,18893,F. Fernandez
878069,1578,G. Lo Celso
878069,1701,M. Morlanes
878069,1702,A. Pedraza
878069,361963,J. Aguirre
878069,26302,P. Maffeo
878069,46733,A. Raillo
878070,1901,J. Amavi
878070,5987,F. Angileri
878070,47258,M. Arambarri
878070,46770,J. A. Garrido
878070,14444,M. Mbaye
878070,47307,J. Zaldua
878071,101814,R. Araujo
878071,667,M. Depay
878071,1642,F. Kessie
878071,1257,J. Kounde
878071,137,S. Roberto
878071,105034,J. Nieto
878071,46910,I. Martos
878072,47281,D. Garcia
878072,2717,Anuar
878072,2040,S. Escudero
878072,18902,Kenedy
878072,46714,M. Malsa
878072,47078,L. Perez
878072,740,J. Sanchez
878073,184345,J. Alamo
878073,18893,F. Fernandez
878073,47002,Fidel
878073,2486,H. Palacios
878073,781,J. Pastore
878073,197448,Y. Couto
878073,47515,B. Garcia
878073,47511,Juanpe
878073,263529,I. Kebe
878073,10166,Reinier
878073,47263,S. Saiz
878074,47249,L. Cabrera
878074,286604,Gori
878074,47329,A. Pedrosa
878074,1578,G. Lo Celso
878074,46815,P. Torres
878074,1702,A. Pedraza
878075,305803,Kaiky
878075,105034,J. Nieto
878075,46910,I. Martos
878075,51449,G. Alvarez
878075,5987,F. Angileri
878075,47258,M. Arambarri
878075,46795,D. Duarte
878075,47520,Portu
878076,26302,P. Maffeo
878076,46742,D. Rodriguez
878076,31,J. M. Gimenez
878076,583,Joao Felix
878077,181421,Ez Abde
878077,163436,Kike Saverio
878077,101814,R. Araujo
878077,667,M. Depay
878077,1642,F. Kessie
878077,1257,J. Kounde
878077,137,S. Roberto
878078,274,E. Cavani
878078,916,M. Diakhaby
878078,911,J. Domenech
878078,162123,I. Moriba
878078,614,C. Bravo
878078,18998,V. Camarasa
878078,668,N. Fekir
878078,47348,B. Iglesias
878078,1579,Joaquin
878078,47320,Juanmi
878078,1847,Luiz Felipe
878079,47551,R. de Tomas
878079,47209,A. Martin
878079,47549,J. Pozo
878079,47432,H. Mallo
878079,5921,A. Solari
878079,19026,L. de la Torre
878080,759,K. Benzema
878080,2285,A. Rudiger
878080,162058,V. Chust
878080,46770,J. A. Garrido
878080,46818,L. Hernandez
878080,14444,M. Mbaye
878080,47307,J. Zaldua
878081,389,J. Corona
878081,433,Marcao
878081,2468,G. Montiel
878081,1493,M. Acuna
878081,30433,Papu Gomez
878081,47317,A. Barrenetxea
878081,274312,M. Cho
878081,47298,A. Elustondo
878081,47322,M. Merquelanz
878081,47303,A. Munoz
878081,47323,M. Oyarzabal
878081,31406,U. Sadiq
878082,6503,N. Molina
878082,2472,R. de Paul
878082,20,A. Witsel
878082,184345,J. Alamo
878082,295879,J. Chetauya
878082,47414,G. Gumbau
878082,46973,Josan
878082,30525,P. Lirola
878082,75414,N. Mercau
878083,46825,K. Bare
878083,119232,D. Gomez
878083,286604,Gori
878083,47329,A. Pedrosa
878083,359603,L. Koleosho
878083,127426,P. Lozano
878084,389,J. Corona
878084,15,T. Delaney
878084,433,Marcao
878084,2468,G. Montiel
878084,133110,T. Nianzou
878084,30433,Papu Gomez
878084,149,I. Rakitic
878084,25345,K. Rekik
878084,378,A. Telles
878085,47258,M. Arambarri
878085,185715,J. Gaya
878085,47007,I. Ruiz de Galarreta
878085,46738,M. Valjent
878086,47505,Bernardo
878086,46849,J. Hernandez
878086,47511,Juanpe
878086,10166,Reinier
878086,263529,I. Kebe
878086,47533,A. Catena
878086,47109,O. Valentin
878086,47551,R. de Tomas
878086,122657,R. Nteka
878086,46775,S. Sanchez
878087,1568,P. Akouokou
878087,18998,V. Camarasa
878087,185202,J. Cruz
878087,1565,E. Gonzalez
878087,898,A. Herrera
878088,47317,A. Barrenetxea
878088,46808,C. Fernandez
878088,47311,M. Merino
878088,47322,M. Merquelanz
878088,31406,U. Sadiq
878088,47306,A. Sola
878088,183744,B. Turrientes
878088,46657,N. Vidal
878089,2717,Anuar
878089,31386,J. El Yamiq
878089,1563,Z. Feddal
878089,47433,L. Olaza
878089,760,M. Diaz
878090,924,F. Coquelin
878090,1578,G. Lo Celso
878090,1701,M. Morlanes
878090,911,J. Domenech
878091,46824,I. Alejo
878091,46998,J. Cala
878091,162058,V. Chust
878091,46770,J. A. Garrido
878091,46755,D. Gil
878091,14444,M. Mbaye
878091,47307,J. Zaldua
878091,47356,R. Ely
878091,46910,I. Martos
878092,2670,I. Martinez
878092,46652,U. Garcia
878092,47391,R. Pena
878092,46657,N. Vidal
878093,2669,M. Hermoso
878093,128,J. Alba
878093,521,R. Lewandowski
878094,2717,Anuar
878094,2040,S. Escudero
878094,1583,S. Leon
878094,740,J. Sanchez
878095,46825,K. Bare
878095,119232,D. Gomez
878095,286604,Gori
878095,127426,P. Lozano
878095,47329,A. Pedrosa
878095,10169,Vinicius Souza
878095,359603,L. Koleosho
878095,46849,J. Hernandez
878095,47511,Juanpe
878095,263529,I. Kebe
878095,10166,Reinier
878095,18949,O. Romeu
878096,46910,I. Martos
878096,274312,M. Cho
878096,46808,C. Fernandez
878096,47440,B. Mendez
878096,47322,M. Merquelanz
878096,31406,U. Sadiq
878096,47306,A. Sola
878096,183744,B. Turrientes
878097,1568,P. Akouokou
878097,185202,J. Cruz
878097,1847,Luiz Felipe
878097,1264,Y. Sabaly
878097,18998,V. Camarasa
878098,184345,J. Alamo
878098,295879,J. Chetauya
878098,146,A. Collado
878098,46973,Josan
878098,75414,N. Mercau
878098,18807,D. Quina
878098,46965,G. Verdu
878099,195923,J. A. Carmona
878099,389,J. Corona
878099,15,T. Delaney
878099,433,Marcao
878099,2468,G. Montiel
878099,30433,Papu Gomez
878099,25345,K. Rekik
878099,378,A. Telles
878099,47258,M. Arambarri
878100,911,J. Domenech
878100,161933,Nico
878100,122233,Marcos Andre
878100,46998,J. Cala
878100,162058,V. Chust
878100,46770,J. A. Garrido
878100,46755,D. Gil
878100,14444,M. Mbaye
878100,47307,J. Zaldua
878101,1578,G. Lo Celso
878101,733,D. Carvajal
878101,760,M. Diaz
878101,737,A. Odriozola
878102,314,R. Albiol
878102,182219,A. Baena
878102,283058,N. Jackson
878102,1578,G. Lo Celso
878102,1702,A. Pedraza
878103,46998,J. Cala
878103,162058,V. Chust
878103,46770,J. A. Garrido
878103,46755,D. Gil
878103,46772,Jose Mari
878103,47307,J. Zaldua
878103,184345,J. Alamo
878103,47378,P. Bigas
878103,295879,J. Chetauya
878103,146,A. Collado
878103,30525,P. Lirola
878103,75414,N. Mercau
878103,18807,D. Quina
878104,505,D. Alaba
878104,757,Lucas
878104,653,F. Mendy
878104,1482,T. Correia
878104,911,J. Domenech
878104,792,J. Kluivert
878104,161933,Nico
878105,46910,I. Martos
878105,2923,Y. Carrasco
878105,31,J. M. Gimenez
878105,39,S. Savic
878106,50856,V. Castellanos
878106,46849,J. Hernandez
878106,47511,Juanpe
878106,263529,I. Kebe
878106,10166,Reinier
878106,389,J. Corona
