shots_on_goal_local,shots_on_goal_away,shots_off_goal_local,shots_off_goal_away,total_shots_local,total_shots_away,blocked_shots_local,blocked_shots_away,shots_insidebox_local,shots_insidebox_away,shots_outsidebox_local,shots_outsidebox_away,fouls_local,fouls_away,corners_local,corners_away,offsides_local,offsides_away,ball_possession_local,ball_possession_away,yellow_cards_local,yellow_cards_away,red_cards_local,red_cards_away,goalkeeper_saves_local,goalkeeper_saves_away,pass_precision_local,pass_precision_away,fixture_id_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204210
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204211
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204212
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204213
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204214
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204216
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204218
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204219
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204220
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204222
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204224
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204225
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204226
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204227
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204228
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204229
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204230
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204232
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204233
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204234
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204236
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204237
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204238
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204239
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204241
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204243
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204245
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204246
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204249
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204250
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204251
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204252
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204253
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204254
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204255
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204256
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204257
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204258
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204259
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204260
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204261
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204262
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204263
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204264
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204265
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204266
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204267
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204268
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204270
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204271
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204272
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204274
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204275
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204276
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204277
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204278
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204279
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204281
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204283
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204284
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204286
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204288
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204289
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204290
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204291
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204292
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204293
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204294
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204296
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204297
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204298
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204299
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204300
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204301
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204302
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204303
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204304
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204306
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204308
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204309
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204310
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204311
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204312
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204313
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204314
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204315
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204316
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204317
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204319
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204320
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204321
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204322
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204323
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204324
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204325
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204326
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204327
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204328
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204329
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204330
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204331
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204332
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204334
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204335
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204336
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204337
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204338
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204339
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204340
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204341
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204342
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204343
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204344
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204345
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204346
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204348
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204349
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204350
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204351
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204352
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204353
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204354
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204355
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204357
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204358
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204359
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204360
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204361
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204362
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204363
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204364
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204365
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204366
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204367
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204368
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204369
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204370
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204371
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204372
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204373
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204374
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204376
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204377
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204378
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204379
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204380
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204381
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204382
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204383
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204384
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204385
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204386
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204387
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204388
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204389
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204390
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204391
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204392
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204393
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204394
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204395
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204396
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204397
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204398
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204399
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204401
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204403
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204404
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204405
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204406
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204407
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204408
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204409
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204410
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204411
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204412
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204413
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204414
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204416
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204417
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204418
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204419
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204420
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204421
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204422
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204423
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204424
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204425
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204426
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204427
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204428
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204429
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204430
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204431
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204433
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204434
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204435
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204436
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204437
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204438
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204439
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204440
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204441
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204442
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204443
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204444
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204445
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204446
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204447
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204448
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204449
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204450
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204451
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204452
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204453
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204454
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204457
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204458
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204459
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204460
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204461
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204462
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204463
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204464
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204466
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204467
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204468
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204469
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204470
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204471
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204472
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204473
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204474
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204475
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204476
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204478
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204479
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204480
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204481
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204482
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204483
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204484
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204485
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204486
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204487
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204488
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204489
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204490
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204491
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204492
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204493
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204496
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204497
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204498
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204499
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204501
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204502
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204503
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204504
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204506
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204507
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204508
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204509
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204510
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204511
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204512
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204513
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204514
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204515
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204516
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204517
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204518
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204519
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204521
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204522
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204523
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204524
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204525
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204527
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204528
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204529
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204530
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204531
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204532
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204534
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204535
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204536
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204537
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204539
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204540
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204541
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204542
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204543
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204544
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204546
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204547
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204548
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204549
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204550
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204551
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204552
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204553
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204554
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204555
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204556
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204557
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204558
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204559
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204560
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204561
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204562
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204563
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204564
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204565
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204566
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204567
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204569
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204570
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204571
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204573
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204574
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204575
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204576
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204577
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204578
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204579
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204580
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204581
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204583
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204584
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204585
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204586
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204587
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204588
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204589
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204590
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204591
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204592
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204593
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204594
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204595
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204596
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204597
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204598
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204599
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204600
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204601
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204602
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204603
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204604
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204605
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204606
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204607
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204608
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204609
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204610
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204611
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204612
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204613
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204614
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204615
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204616
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204617
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204618
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204619
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204620
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204621
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204622
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204623
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204624
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204626
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204627
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204628
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204629
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204630
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204631
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204632
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204633
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204634
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204635
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204636
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204638
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204639
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204640
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204641
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204642
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204643
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204644
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204645
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204646
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204647
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204648
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204649
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204650
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204651
,,,,,,,,,,,,,,,,,,,,,,,,,,,,204652
